Module;Functionality;Tag;Sbpk;Adpk;Trpk;Fragment;Standard;Professional;Enterprise
_Base Module;;SEVR;SBPK;ADPK;TRPK;SERVER;X;X;X
;Multilanguage descriptions;SEVR;SBPK;ADPK;TRPK;LANGUAGES;X;X;X
;Multicurrency;SEVR;SBPK;ADPK;TRPK;CURRENCIES;;X;X
Financials;;CONT;SBPK;ADPK;TRPK;FINANCIALS;X;X;X
;Customizable Tax Journals;CONT;SBPK;ADPK;TRPK;MULTITAXJ;;X;X
;Customizable Accounting Templates;CONT;SBPK;ADPK;TRPK;CUSTACCTPL;;X;X
;Purchase Electronic Invoice Accounting Import;CPCO;;;;ACCPURELEINV;;X;X
;Pro-rata Management;CONT;SBPK;ADPK;TRPK;PRORATA;X;X;X
;Travel Agency VAT;CONT;SBPK;ADPK;TRPK;TRAVAGVAT;X;X;X
;Plafond Management;CONT;SBPK;ADPK;TRPK;PLAFOND;;X;X
;Advanced AP/AR Management;CONT;SBPK;ADPK;TRPK;APARPLUS;;X;X
;Dunning letters;CONT;SBPK;ADPK;TRPK;DUNNINGS;;X;X
;Payment Schedule Analysis and Cash Flow;CONT;SBPK;ADPK;TRPK;APARANALSYS;;;X
;Automatic Accrual and Deferrals;CONT;SBPK;ADPK;TRPK;ACCRDEFERR;;X;X
;Balance Analysis and Reclassifications;CONT;SBPK;ADPK;TRPK;BALANALYSYS;;X;X
;Professionals Fees and Withholding Tax;CONT;SBPK;ADPK;TRPK;PAYEES;;X;X
;CADI (VAT settlement and documents data communication);CONT;SBPK;ADPK;TRPK;CADI;;X;X
Advanced Banks Management;;BAPL;;;;BANKPLUS;X;X;X
Fixed Assets;;CSPT;;;TRPK;FIXASSETS;;X;X
Forecast Accounting;;COPR;;ADPK;TRPK;FOREACC;;;X
XBRL Balance;;XBRL;;;;XBRL;;;X
Accounting Books and Balance Attachments;;LIBR;;;;ACCBOOKS;;;X
Balance Analysis (Basel II);;BAII;;;;BASELII;;;X
Consolidated Balance;;BICO;;;;MULTICOMPBAL;;;X
Cost Accounting;;COAN;;;;COSTACC;;X;X
;Product Lines;CFIN;;;;PRODLINES;;;X
;Transfers;CFIN;;;;COSTACCTRAN;;;X
Cash Management;;CASH;;;;CASH;;;X
Intrastat;;INTR;;ADPK;TRPK;INTRASTAT;;X;X
Sales / Purchases;;VEDT;SBPK;ADPK;TRPK;SALES;X;X;X
;Advanced Items Management;VEDT;SBPK;ADPK;TRPK;ITEMADV;;X;X
Sale Invoices / Delivery Notes;;VEDT;SBPK;ADPK;TRPK;SALES;X;X;X
;Sale Electronic Invoices;VEDT;SBPK;ADPK;TRPK;ELECTINV;X;X;X
e-commerce;;;;;;ECOMM;;Nr-User;Nr-User
Store Management;Backend;STMN;;;;STOREMAN;X;X;X
;Variants / Size and Colors;STVA;;;;STVARIANTS;;X/0;X
;In-store App Mobile;STMO;;;;INSTOREAPP;;Nr-User;Nr-User
Purchase Orders;;ORFO;;;TRPK;PURCHORD;X;X;X
Purchases;;ACQT;;;TRPK;PURCHASES;;X;X
;Electronic Invoices Import in Purchase Documents;CPAC;;;;PURCHELEINV;;X;X
Inventory;;MAGA;SBPK;ADPK;TRPK;INVENTORY;X;X;X
;Multistorage;MAGA;SBPK;ADPK;TRPK;MULTISTORAGE;;X;X
;LIFO/FIFO Continuous Rises;MAGA;SBPK;ADPK;TRPK;SINGSTEPLF;;;X
;Inventory Adjustments Entries;MAGA;SBPK;ADPK;TRPK;INVADJUST;;;X
Quality Inspections;;INSP;;;;QUALINSP;;;X
;Technical Notes;CFIN;;;;QUALINSPNOTE;;;X
Barcode Manager;;BARC;;;;BARCODE;X;X;X
WMS;Basic;WMAA;;;;WMSBASIC;;X/0;X
;Advanced;WMAD;;;;WMSADV;;;X
;Shipping;WMSH;;;;WMSSHIP;;X/0;X
;Mobile - backend;WMRF;;;;WMSMOB;;X/0;X
;Mobile - app;WMRC;;;;WMSMOBAPP;;Nr-User;Nr-User
Resources Management;;SEVR;SBPK;ADPK;TRPK;RESMAN;;X;X
_DMS;Basic;EATT;;;;DMSBASE;;X;X
;Massive Archiving Plug-In;MASS;;;;DMSMASS;;;X
Job Scheduler;;SCHD;;;;JOBSCHEDUL;;;X
Security;;OSLL;;;;SECURITY;;X;X
;Access profiles;OSLS;;;;SECURITYADV;;X;X
;Auditing;AUDT;;;;AUDITING;;X/0;X
;Visibility;VISI;;;;VISIBILITY;;X/0;X
